"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","SEXLEVEL","SEX","DIS","CDF","Range0","Range1"
"72",140,24,3,"701101",1204,24,24003701101,"1400000US24003701101",2,"Female",2100,0.505902192242833,1,0.494098313659359,1
"73",140,24,3,"701102",1204,25,24003701102,"1400000US24003701102",0,"Total",7508,0,0,0,0
"74",140,24,3,"701102",1204,25,24003701102,"1400000US24003701102",1,"Male",3709,0.494006393180607,0.494006393180607,0,0.494006899174214
"75",140,24,3,"701102",1204,25,24003701102,"1400000US24003701102",2,"Female",3799,0.505993606819393,1,0.494006899174214,1
"76",140,24,3,"701200",1204,26,24003701200,"1400000US24003701200",0,"Total",8298,0,0,0,0
"77",140,24,3,"701200",1204,26,24003701200,"1400000US24003701200",1,"Male",4157,0.500964087731984,0.500964087731984,0,0.500964586767896
"78",140,24,3,"701200",1204,26,24003701200,"1400000US24003701200",2,"Female",4141,0.499035912268016,1,0.500964586767896,1
"79",140,24,3,"701300",1204,27,24003701300,"1400000US24003701300",0,"Total",7906,0,0,0,0
"80",140,24,3,"701300",1204,27,24003701300,"1400000US24003701300",1,"Male",3986,0.504174045029092,0.504174045029092,0,0.504174540855047
"81",140,24,3,"701300",1204,27,24003701300,"1400000US24003701300",2,"Female",3920,0.495825954970908,1,0.504174540855047,1
"82",140,24,3,"701400",1204,28,24003701400,"1400000US24003701400",0,"Total",3575,0,0,0,0
"83",140,24,3,"701400",1204,28,24003701400,"1400000US24003701400",1,"Male",1775,0.496503496503497,0.496503496503496,0,0.496504
"84",140,24,3,"701400",1204,28,24003701400,"1400000US24003701400",2,"Female",1800,0.503496503496504,1,0.496504,1
"85",140,24,3,"702100",1204,29,24003702100,"1400000US24003702100",0,"Total",6722,0,0,0,0
"86",140,24,3,"702100",1204,29,24003702100,"1400000US24003702100",1,"Male",3378,0.502529009223445,0.502529009223446,0,0.502529506694436
"87",140,24,3,"702100",1204,29,24003702100,"1400000US24003702100",2,"Female",3344,0.497470990776555,1,0.502529506694436,1
"88",140,24,3,"702204",1201,30,24003702204,"1400000US24003702204",0,"Total",4169,0,0,0,0
"89",140,24,3,"702204",1201,30,24003702204,"1400000US24003702204",1,"Male",2028,0.486447589349964,0.486447589349964,0,0.486448102902375
"90",140,24,3,"702204",1201,30,24003702204,"1400000US24003702204",2,"Female",2141,0.513552410650036,1,0.486448102902375,1
"91",140,24,3,"702205",1201,31,24003702205,"1400000US24003702205",0,"Total",5322,0,0,0,0
"92",140,24,3,"702205",1201,31,24003702205,"1400000US24003702205",1,"Male",2558,0.480646373543781,0.48064637354378,0,0.480646892897407
"93",140,24,3,"702205",1201,31,24003702205,"1400000US24003702205",2,"Female",2764,0.51935362645622,1,0.480646892897407,1
"94",140,24,3,"702206",1201,32,24003702206,"1400000US24003702206",0,"Total",6372,0,0,0,0
