"","PUMA","ESRLEVEL","ESR","CLASS","CenTrN","DIS","CDF","Range0","Range1"
"120","700","ESR6",24279,7,15,0.236921455546123,1,0.763078781375333,1
"121","801","Total",139559,0,16,0,0,0,0
"122","801","ESR0",26971,1,16,0.193258765110097,0.193258765110097,0,0.193259162203799
"123","801","ESR1",55418,2,16,0.397093702305118,0.590352467415215,0.193259162203799,0.590352475784435
"124","801","ESR2",1168,3,16,0.00836922018644444,0.598721687601659,0.590352475784435,0.598721740675986
"125","801","ESR3",7407,4,16,0.0530743269871524,0.651796014588812,0.598721740675986,0.651796014588812
"126","801","ESR4",0,5,16,0,0.651796014588812,0.651796014588812,0.651796014588812
"127","801","ESR5",0,6,16,0,0.651796014588812,0.651796014588812,0.651796362792797
"128","801","ESR6",48595,7,16,0.348203985411188,1,0.651796362792797,1
"129","802","Total",109746,0,17,0,0,0,0
"130","802","ESR0",18934,1,17,0.17252565013759,0.17252565013759,0,0.172526098044576
"131","802","ESR1",49156,2,17,0.447906985220418,0.620432635358009,0.172526098044576,0.620432641763709
"132","802","ESR2",703,3,17,0.00640570043555118,0.62683833579356,0.620432641763709,0.62683836879704
"133","802","ESR3",3622,4,17,0.0330034807646748,0.659841816558234,0.62683836879704,0.659841817159623
"134","802","ESR4",66,5,17,0.000601388661090154,0.660443205219325,0.659841817159623,0.660443205219325
"135","802","ESR5",0,6,17,0,0.660443205219325,0.660443205219325,0.660443544776119
"136","802","ESR6",37265,7,17,0.339556794780675,1,0.660443544776119,1
"137","803","Total",111485,0,18,0,0,0,0
"138","803","ESR0",20409,1,18,0.18306498632103,0.18306498632103,0,0.183065457254339
"139","803","ESR1",52502,2,18,0.470933309413822,0.653998295734852,0.183065457254339,0.653998308014531
"140","803","ESR2",1369,3,18,0.0122796788805669,0.666277974615419,0.653998308014531,0.666278016926044
"141","803","ESR3",4717,4,18,0.0423106247477239,0.708588599363143,0.666278016926044,0.708588609391398
"142","803","ESR4",1118,5,18,0.0100282549221868,0.71861685428533,0.708588609391398,0.71861685428533
"143","803","ESR5",0,6,18,0,0.71861685428533,0.71861685428533,0.718617135668476
"144","803","ESR6",31370,7,18,0.28138314571467,1,0.718617135668476,1
"145","804","Total",135468,0,19,0,0,0,0
"146","804","ESR0",24206,1,19,0.178684264918652,0.178684264918652,0,0.178684762453126
"147","804","ESR1",67400,2,19,0.497534473085895,0.676218738004547,0.178684762453126,0.676218742928219
"148","804","ESR2",667,3,19,0.00492367201110225,0.68114241001565,0.676218742928219,0.681142446636844
"149","804","ESR3",4961,4,19,0.0366211946732808,0.71776360468893,0.681142446636844,0.71776360468893
"150","804","ESR4",0,5,19,0,0.71776360468893,0.71776360468893,0.71776360468893
"151","804","ESR5",0,6,19,0,0.71776360468893,0.71776360468893,0.717763886925326
"152","804","ESR6",38234,7,19,0.28223639531107,1,0.717763886925326,1
"153","805","Total",118525,0,20,0,0,0,0
"154","805","ESR0",25498,1,20,0.215127610208817,0.215127610208817,0,0.215128062037545
"155","805","ESR1",53553,2,20,0.451828728116431,0.666956338325248,0.215128062037545,0.666956344248049
"156","805","ESR2",702,3,20,0.00592280109681502,0.672879139422063,0.666956344248049,0.672879199983126
"157","805","ESR3",7178,4,20,0.0605610630668635,0.733440202488926,0.672879199983126,0.733440203408564
"158","805","ESR4",109,5,20,0.000919637207340224,0.734359839696267,0.733440203408564,0.734359839696267
"159","805","ESR5",0,6,20,0,0.734359839696267,0.734359839696267,0.734360105336427
"160","805","ESR6",31485,7,20,0.265640160303733,1,0.734360105336427,1
"161","901","Total",136128,0,21,0,0,0,0
"162","901","ESR0",26831,1,21,0.197101257639868,0.197101257639868,0,0.197101804206335
"163","901","ESR1",74403,2,21,0.546566466854725,0.743667724494593,0.197101804206335,0.743667730070228
"164","901","ESR2",759,3,21,0.00557563469675599,0.749243359191349,0.743667730070228,0.749243380987012
"165","901","ESR3",2967,4,21,0.0217956629055007,0.77103902209685,0.749243380987012,0.771039025145451
"166","901","ESR4",415,5,21,0.00304860131640809,0.774087623413258,0.771039025145451,0.774087623413258
"167","901","ESR5",0,6,21,0,0.774087623413258,0.774087623413258,0.774087849325635
"168","901","ESR6",30753,7,21,0.225912376586742,1,0.774087849325635,1
"169","902","Total",181110,0,22,0,0,0,0
"170","902","ESR0",42909,1,22,0.236922312406825,0.236922312406824,0,0.236922844956104
"171","902","ESR1",96450,2,22,0.532549279443432,0.769471591850257,0.236922844956104,0.769471598487107
"172","902","ESR2",1202,3,22,0.00663685053282535,0.776108442383082,0.769471598487107,0.776108458853735
"173","902","ESR3",2983,4,22,0.0164706531941914,0.792579095577274,0.776108458853735,0.792579100552151
"174","902","ESR4",901,5,22,0.00497487714648556,0.797553972723759,0.792579100552151,0.797553972723759
"175","902","ESR5",0,6,22,0,0.797553972723759,0.797553972723759,0.797554175169786
"176","902","ESR6",36665,7,22,0.202446027276241,1,0.797554175169786,1
"177","1001","Total",143781,0,23,0,0,0,0
"178","1001","ESR0",31682,1,23,0.220349002997614,0.220349002997615,0,0.220349537894437
"179","1001","ESR1",76908,2,23,0.534896822250506,0.75524582524812,0.220349537894437,0.755245829254213
"180","1001","ESR2",576,3,23,0.00400609259916122,0.759251917847282,0.755245829254213,0.759251934574109
"181","1001","ESR3",2405,4,23,0.0167268276058728,0.775978745453154,0.759251934574109,0.775978746788519
"182","1001","ESR4",192,5,23,0.00133536419972041,0.777314109652875,0.775978746788519,0.777314109652875
"183","1001","ESR5",0,6,23,0,0.777314109652875,0.777314109652875,0.777314332338765
"184","1001","ESR6",32018,7,23,0.222685890347125,1,0.777314332338765,1
"185","1002","Total",132099,0,24,0,0,0,0
"186","1002","ESR0",31261,1,24,0.236648271372228,0.236648271372228,0,0.236648818991817
"187","1002","ESR1",72340,2,24,0.547619588339049,0.784267859711277,0.236648818991817,0.784267865426687
"188","1002","ESR2",755,3,24,0.00571541041188805,0.789983270123165,0.784267865426687,0.789983289994625
"189","1002","ESR3",2625,4,24,0.0198714600413326,0.809854730164498,0.789983289994625,0.809854731655804
"190","1002","ESR4",197,5,24,0.00149130576310192,0.8113460359276,0.809854731655804,0.8113460359276
"191","1002","ESR5",0,6,24,0,0.8113460359276,0.8113460359276,0.811346224581564
"192","1002","ESR6",24921,7,24,0.1886539640724,1,0.811346224581564,1
"193","1003","Total",188985,0,25,0,0,0,0
"194","1003","ESR0",39369,1,25,0.208318120485753,0.208318120485753,0,0.208318653533349
"195","1003","ESR1",100738,2,25,0.533047596370082,0.741365716855835,0.208318653533349,0.741365724628939
"196","1003","ESR2",1469,3,25,0.00777310368547768,0.749138820541313,0.741365724628939,0.749138848744609
"197","1003","ESR3",5330,4,25,0.0282032965579279,0.777342117099241,0.749138848744609,0.777342121279467
"198","1003","ESR4",790,5,25,0.00418022594385798,0.781522343043099,0.777342121279467,0.781522343043099
"199","1003","ESR5",0,6,25,0,0.781522343043099,0.781522343043099,0.781522561520756
"200","1003","ESR6",41289,7,25,0.218477656956901,1,0.781522561520756,1
"201","1004","Total",187001,0,26,0,0,0,0
"202","1004","ESR0",36242,1,26,0.193806450232886,0.193806450232886,0,0.193806953010946
"203","1004","ESR1",94020,2,26,0.502778060010374,0.696584510243261,0.193806953010946,0.696584516473174
"204","1004","ESR2",1165,3,26,0.00622991320902027,0.702814423452281,0.696584516473174,0.702814442521698
"205","1004","ESR3",3566,4,26,0.0190694167410869,0.721883840193368,0.702814442521698,0.721883850182619
