,X,CensusTrct,INCOME,CLASS,N_return,N_single,N_joint,N_head,N_dpnd,INC,INC_R,DIS,CDF,Range0,Range1
116,18381,24001001600,"$50,000 under $75,000",3,880,320,450,90,480,7270,5368,0.143188669,0.647363227,0.504174701,0.647363326
117,18391,24001001600,"$75,000 under $100,000",4,560,90,450,30,400,5230,3744,0.099869295,0.747232522,0.647363326,0.747232686
118,18401,24001001600,"$100,000 under $200,000",5,680,70,600,0,590,7970,6175,0.164714983,0.911947505,0.747232686,0.911947593
119,18411,24001001600,"$200,000 or more",6,60,0,60,0,60,3460,3301,0.088052495,1,0.911947593,1
120,18352,24001001700,Total,0,5620,2710,2220,590,2790,12190,3617,0,0,0,0
121,18362,24001001700,"$1 under $25,000",1,2130,1560,260,270,640,3520,1027,0.283936964,0.283936964,0,0.283937182
122,18372,24001001700,"$25,000 under $50,000",2,1310,670,400,200,620,2720,787,0.217583633,0.501520597,0.283937182,0.501520767
123,18382,24001001700,"$50,000 under $75,000",3,880,320,450,90,480,2110,615,0.170030412,0.671551009,0.501520767,0.671551144
124,18392,24001001700,"$75,000 under $100,000",4,560,90,450,30,400,1650,488,0.134918441,0.80646945,0.671551144,0.806469626
125,18402,24001001700,"$100,000 under $200,000",5,680,70,600,0,590,2010,639,0.176665745,0.983135195,0.806469626,0.983135212
126,18412,24001001700,"$200,000 or more",6,60,0,60,0,60,180,62,0.017141277,1.000276472,0.983135212,1
127,18353,24001001800,Total,0,5620,2710,2220,590,2790,10530,3144,0,0,0,0
128,18363,24001001800,"$1 under $25,000",1,2130,1560,260,270,640,2990,893,0.284033079,0.284033079,0,0.284033296
129,18373,24001001800,"$25,000 under $50,000",2,1310,670,400,200,620,2290,684,0.217557252,0.501590331,0.284033296,0.501590501
130,18383,24001001800,"$50,000 under $75,000",3,880,320,450,90,480,1790,535,0.170165394,0.671755725,0.501590501,0.67175586
131,18393,24001001800,"$75,000 under $100,000",4,560,90,450,30,400,1420,424,0.134860051,0.806615776,0.67175586,0.806615953
132,18403,24001001800,"$100,000 under $200,000",5,680,70,600,0,590,1860,555,0.176526718,0.983142494,0.806615953,0.983142511
133,18413,24001001800,"$200,000 or more",6,60,0,60,0,60,180,54,0.017175573,1.000318066,0.983142511,1
134,18354,24001001900,Total,0,5620,2710,2220,590,2790,12780,1600,0,0,0,0
135,18364,24001001900,"$1 under $25,000",1,2130,1560,260,270,640,3800,459,0.286875,0.286875,0,0.286875219
136,18374,24001001900,"$25,000 under $50,000",2,1310,670,400,200,620,2850,350,0.21875,0.505625,0.286875219,0.50562517
137,18384,24001001900,"$50,000 under $75,000",3,880,320,450,90,480,2160,272,0.17,0.675625,0.50562517,0.675625134
138,18394,24001001900,"$75,000 under $100,000",4,560,90,450,30,400,1710,215,0.134375,0.81,0.675625134,0.810000173
139,18404,24001001900,"$100,000 under $200,000",5,680,70,600,0,590,2080,277,0.173125,0.983125,0.810000173,0.983125016
140,18414,24001001900,"$200,000 or more",6,60,0,60,0,60,180,26,0.01625,0.999375,0.983125016,1
141,179314,24001002000,Total,0,16470,7930,6120,2100,8510,32350,3864,0,0,0,0
142,179414,24001002000,"$1 under $25,000",1,6960,4760,970,1120,2660,11010,1313,0.339803313,0.339803313,0,0.339803543
143,179514,24001002000,"$25,000 under $50,000",2,4080,2020,1270,670,2210,7750,891,0.230590062,0.570393375,0.339803543,0.57039354
144,179614,24001002000,"$50,000 under $75,000",3,2290,770,1240,220,1300,5080,640,0.16563147,0.736024845,0.57039354,0.736024966
145,179714,24001002000,"$75,000 under $100,000",4,1440,230,1140,50,990,3770,470,0.121635611,0.857660455,0.736024966,0.85766058
146,179814,24001002000,"$100,000 under $200,000",5,1390,120,1240,40,1150,3990,480,0.124223602,0.981884058,0.85766058,0.981884076
147,179914,24001002000,"$200,000 or more",6,310,30,260,0,200,750,71,0.018374741,1.000258799,0.981884076,1
148,1807,24001002100,Total,0,540,220,240,60,260,16210,2723,0,0,0,0
149,1808,24001002100,"$1 under $25,000",1,210,130,50,20,60,4940,926,0.340066104,0.340066104,0,0.340066357
150,1809,24001002100,"$25,000 under $50,000",2,140,60,50,40,70,3720,689,0.253029747,0.59309585,0.340066357,0.593096015
151,1810,24001002100,"$50,000 under $75,000",3,90,30,50,0,40,2750,450,0.165258906,0.758354756,0.593096015,0.758354894
152,1811,24001002100,"$75,000 under $100,000",4,60,0,50,0,60,2190,376,0.138082997,0.896437752,0.758354894,0.896437856
153,1812,24001002100,"$100,000 under $200,000",5,40,0,40,0,30,2430,281,0.103195006,0.999632758,0.896437856,0.999632758
154,1813,24001002100,"$200,000 or more",6,0,0,0,0,0,180,1,0.000367242,1,0.999632758,1
155,18071,24001002200,Total,0,540,220,240,60,260,41270,39311,0,0,0,0
156,18081,24001002200,"$1 under $25,000",1,210,130,50,20,60,12130,11500,0.292538984,0.292538984,0,0.292539202
157,18091,24001002200,"$25,000 under $50,000",2,140,60,50,40,70,9010,8557,0.217674442,0.510213426,0.292539202,0.510213571
158,18101,24001002200,"$50,000 under $75,000",3,90,30,50,0,40,6060,5704,0.145099336,0.655312762,0.510213571,0.655312864
159,18111,24001002200,"$75,000 under $100,000",4,60,0,50,0,60,4280,3990,0.101498308,0.756811071,0.655312864,0.75681123
160,18121,24001002200,"$100,000 under $200,000",5,40,0,40,0,30,6510,6280,0.159751723,0.916562794,0.75681123,0.916562878
161,18131,24001002200,"$200,000 or more",6,0,0,0,0,0,3280,3280,0.083437206,1,0.916562878,1
162,1121,24003701101,Total,0,4050,1690,2090,200,2530,32720,4362,0,0,0,0
163,1122,24003701101,"$1 under $25,000",1,990,870,60,50,140,5050,620,0.142136635,0.142136635,0,0.142136743
164,1123,24003701101,"$25,000 under $50,000",2,480,350,80,40,130,3710,474,0.10866575,0.250802384,0.142136743,0.250802486
165,1124,24003701101,"$50,000 under $75,000",3,340,190,100,40,150,3360,445,0.102017423,0.352819807,0.250802486,0.352819905
