PUMA,GEOID10,POP
700,24015030905,2859
700,24015030906,8572
700,24015031201,6334
700,24015031202,5570
700,24015031301,3477
700,24015031302,7236
700,24015031400,4164
1600,24017850101,5440
1600,24017850102,2583
1600,24017850201,787
1600,24017850202,4749
1600,24017850300,1986
1600,24017850400,3895
1600,24017850500,2793
1600,24017850600,4743
1600,24017850706,4811
1600,24017850708,5282
1600,24017850709,6676
1600,24017850710,4979
1600,24017850711,4900
1600,24017850712,5739
1600,24017850713,6635
1600,24017850801,4714
1600,24017850802,4118
1600,24017850901,5830
1600,24017850902,5678
1600,24017850904,5367
1600,24017850905,4425
1600,24017850906,4873
1600,24017851001,3279
1600,24017851002,9244
1600,24017851100,2741
1600,24017851200,4886
1600,24017851301,4711
1600,24017851302,4046
1600,24017851400,8176
1600,24017851500,8465
1600,24017990000,0
1300,24019970100,2821
1300,24019970200,5745
1300,24019970300,4715
1300,24019970400,3305
1300,24019970500,4001
1300,24019970600,4702
1300,24019970702,3987
1300,24019970804,1891
1300,24019970900,1451
0,24019990000,0
301,24021740200,4735
302,24021750100,1278
302,24021750200,1640
302,24021750300,1734
302,24021750503,6574
302,24021750504,5323
302,24021750505,6824
302,24021750506,3991
302,24021750600,2677
302,24021750701,5491
302,24021750702,3262
302,24021750801,2985
302,24021750802,4019
302,24021750803,6122
302,24021751001,954
302,24021751002,5329
302,24021751003,5326
302,24021751004,4102
302,24021751201,4757
302,24021751202,6152
302,24021751203,2028
302,24021751301,3418
301,24021751302,3060
301,24021751600,3027
302,24021751701,2394
301,24021751702,3567
301,24021751801,4201
301,24021751802,3774
302,24021751901,4272
302,24021751902,5795
301,24021751903,6362
302,24021751904,3146
301,24021752001,5139
301,24021752101,3173
301,24021752102,4397
301,24021752201,2121
301,24021752202,3853
301,24021752204,5855
302,24021752301,4168
301,24021752302,3983
301,24021752303,2640
301,24021752501,4929
301,24021752502,2487
301,24021752601,3971
301,24021752602,2561
301,24021752603,3839
301,24021752801,2214
301,24021752802,3550
301,24021752900,3066
301,24021753001,4564
301,24021753002,2744
302,24021765100,3710
301,24021766800,5131
301,24021767500,2849
301,24021767600,3200
301,24021770700,3608
302,24021772200,1598
301,24021773500,4121
301,24021775302,3900
301,24021775400,3892
302,24021775600,3803
100,24023000100,4003
100,24023000200,3937
100,24023000300,2857
100,24023000400,3337
100,24023000500,4051
100,24023000600,6186
100,24023000700,5726
601,24025301102,3579
602,24025301105,3985
602,24025301106,4215
602,24025301107,3174
602,24025301108,3435
601,24025301201,1956
601,24025301202,6685
602,24025301204,4299
602,24025301205,4202
602,24025301301,4592
602,24025301302,7424
602,24025301401,7512
602,24025301402,2398
602,24025301601,6420
602,24025301602,7899
602,24025301702,7884
602,24025301703,4804
602,24025301704,3599
601,24025302100,2137
601,24025302200,2535
602,24025302400,2663
602,24025302801,3687
602,24025302802,4551
602,24025302901,2628
602,24025302902,4549
601,24025303101,5976
601,24025303102,2783
601,24025303201,5859
601,24025303203,3479
601,24025303204,4584
601,24025303205,1482
601,24025303206,3474
601,24025303300,6096
601,24025303400,4207
601,24025303501,6490
601,24025303502,3680
601,24025303602,3799
601,24025303603,6710
601,24025303605,5936
601,24025303606,3363
601,24025303700,3815
601,24025303801,2615
601,24025303802,2034
601,24025303803,4981
601,24025303900,2372
601,24025304101,4382
601,24025304102,3708
601,24025304201,6220
601,24025304202,6802
601,24025305100,7432
601,24025305200,2734
601,24025305300,2208
602,24025306100,4025
602,24025306200,2166
602,24025306300,2373
602,24025306400,6013
602,24025306500,2216
902,24027601103,5763
902,24027601104,5761
902,24027601105,3992
902,24027601107,4214
902,24027601108,3746
902,24027601201,7544
902,24027601203,3893
902,24027601204,5229
901,24027602100,7852
901,24027602201,3282
901,24027602202,5306
902,24027602302,6842
901,24027602303,3736
901,24027602304,4729
901,24027602305,3667
901,24027602306,5220
902,24027602600,7113
902,24027602700,5014
902,24027602800,5813
902,24027602900,4123
901,24027603001,5401
901,24027603003,4186
901,24027603004,6199
901,24027604001,6275
901,24027604002,7624
901,24027605102,8211
901,24027605103,5075
901,24027605104,4316
901,24027605401,5149
901,24027605402,7055
901,24027605502,5182
901,24027605503,6262
901,24027605504,2737
901,24027605505,6169
901,24027605601,6075
901,24027605602,7610
902,24027606601,2875
902,24027606603,7696
902,24027606604,4037
902,24027606606,4744
902,24027606607,4530
902,24027606701,2603
902,24027606704,7072
902,24027606705,2011
902,24027606706,4798
902,24027606707,3755
902,24027606803,5523
902,24027606804,3202
902,24027606805,4145
902,24027606806,6441
902,24027606901,5549
902,24027606904,3977
902,24027606905,6644
902,24027606906,5615
902,24027606907,5503
1300,24029950100,3838
1300,24029950200,4844
1300,24029950300,5775
1300,24029950400,3117
1300,24029950500,2623
0,24029990000,0
1001,24031700101,4321
1001,24031700103,5864
1002,24031700104,5356
1002,24031700105,6528
1001,24031700204,2124
1001,24031700205,6312
1001,24031700206,5749
1001,24031700207,5638
1001,24031700208,2218
1002,24031700304,7692
1002,24031700306,7157
1002,24031700308,5720
1002,24031700309,5362
1002,24031700310,5267
1001,24031700311,6736
1001,24031700312,6126
1001,24031700400,2256
1001,24031700500,6295
1001,24031700604,6802
1003,24031700606,4327
1003,24031700607,8001
1001,24031700608,5968
1003,24031700610,2021
1001,24031700611,6352
1001,24031700613,6434
1001,24031700614,5341
1003,24031700615,3032
1003,24031700616,4497
1003,24031700704,2952
1003,24031700706,3447
1003,24031700710,6888
1003,24031700711,5912
1002,24031700713,5471
1002,24031700715,5969
1002,24031700716,7729
1003,24031700717,5877
1003,24031700718,4329
1003,24031700719,7590
1003,24031700720,3499
1002,24031700721,2621
1002,24031700722,4418
1003,24031700723,3387
1003,24031700724,3154
1002,24031700810,5142
1002,24031700811,4591
1002,24031700812,4177
1002,24031700813,5626
1002,24031700815,7546
1003,24031700816,7886
1003,24031700817,5197
1002,24031700818,6078
1002,24031700819,6651
1003,24031700820,2898
1003,24031700822,1568
1003,24031700823,3464
1003,24031700824,2736
1003,24031700826,5944
1003,24031700828,2468
1003,24031700829,3067
1002,24031700830,2520
1002,24031700832,2958
1002,24031700833,4251
1002,24031700834,4885
1002,24031700835,4616
1003,24031700901,4058
1003,24031700902,3759
1003,24031700903,1920
1003,24031700904,2578
1003,24031700905,3922
1003,24031701001,5421
