"","CensusTrct","INCOMECLASS","CLASS","INC","INC_R","DIS","CDF","Range0","Range1"
"2620",24013505102,"$1 under $25,000",1,6150,4707,0.250053123671908,0.250053123671908,0,0.250053276402465
"2621",24013505102,"$25,000 under $50,000",2,3850,2875,0.152730556736082,0.40278368040799,0.250053276402465,0.402783804611135
"2622",24013505102,"$50,000 under $75,000",3,3010,2338,0.124203144921377,0.526986825329367,0.402783804611135,0.526986936889078
"2623",24013505102,"$75,000 under $100,000",4,2680,2100,0.111559711007225,0.638546536336592,0.526986936889078,0.638546807267318
"2624",24013505102,"$100,000 under $200,000",5,6390,5100,0.270930726731832,0.909477263068423,0.638546807267318,0.90947735359116
"2625",24013505102,"$200,000 or more",6,2200,1704,0.0905227369315767,1,0.90947735359116,1
"2626",24013505203,"Total",0,19000,19000,0,0,0,0
"2627",24013505203,"$1 under $25,000",1,4750,4750,0.25,0.25,0,0.250000152631579
"2628",24013505203,"$25,000 under $50,000",2,2900,2900,0.152631578947368,0.402631578947368,0.250000152631579,0.402631703157895
"2629",24013505203,"$50,000 under $75,000",3,2360,2360,0.124210526315789,0.526842105263158,0.402631703157895,0.526842216842105
"2630",24013505203,"$75,000 under $100,000",4,2120,2120,0.111578947368421,0.638421052631579,0.526842216842105,0.638421323684211
"2631",24013505203,"$100,000 under $200,000",5,5150,5150,0.271052631578947,0.909473684210526,0.638421323684211,0.909473774736842
"2632",24013505203,"$200,000 or more",6,1720,1720,0.0905263157894737,1,0.909473774736842,1
"2633",24013505205,"Total",0,21780,15517,0,0,0,0
"2634",24013505205,"$1 under $25,000",1,5370,3863,0.248952761487401,0.248952761487401,0,0.248952912676419
"2635",24013505205,"$25,000 under $50,000",2,3220,2346,0.151189018495843,0.400141779983244,0.248952912676419,0.400141903009603
"2636",24013505205,"$50,000 under $75,000",3,2620,1909,0.123026358187794,0.523168138171038,0.400141903009603,0.523168248952761
"2637",24013505205,"$75,000 under $100,000",4,2370,1719,0.110781723271251,0.633949861442289,0.523168248952761,0.633950133788748
"2638",24013505205,"$100,000 under $200,000",5,6000,4226,0.272346458722691,0.90629632016498,0.633950133788748,0.90629641386866
"2639",24013505205,"$200,000 or more",6,2200,1454,0.0937036798350197,1,0.90629641386866,1
"2640",24013505206,"Total",0,21780,12217,0,0,0,0
"2641",24013505206,"$1 under $25,000",1,5370,3022,0.247360235737088,0.247360235737088,0,0.247360384791684
"2642",24013505206,"$25,000 under $50,000",2,3220,1821,0.149054596054678,0.396414831791766,0.247360384791684,0.396414953098142
"2643",24013505206,"$50,000 under $75,000",3,2620,1482,0.121306376360809,0.517721208152574,0.396414953098142,0.517721317672096
"2644",24013505206,"$75,000 under $100,000",4,2370,1338,0.109519521977572,0.627240730130147,0.517721317672096,0.627241004501924
"2645",24013505206,"$100,000 under $200,000",5,6000,3352,0.274371777032005,0.901612507162151,0.627241004501924,0.901612605549644
"2646",24013505206,"$200,000 or more",6,2200,1202,0.0983874928378489,1,0.901612605549644,1
"2647",24013505207,"Total",0,19000,19000,0,0,0,0
"2648",24013505207,"$1 under $25,000",1,4750,4750,0.25,0.25,0,0.250000152631579
"2649",24013505207,"$25,000 under $50,000",2,2900,2900,0.152631578947368,0.402631578947368,0.250000152631579,0.402631703157895
"2650",24013505207,"$50,000 under $75,000",3,2360,2360,0.124210526315789,0.526842105263158,0.402631703157895,0.526842216842105
"2651",24013505207,"$75,000 under $100,000",4,2120,2120,0.111578947368421,0.638421052631579,0.526842216842105,0.638421323684211
"2652",24013505207,"$100,000 under $200,000",5,5150,5150,0.271052631578947,0.909473684210526,0.638421323684211,0.909473774736842
"2653",24013505207,"$200,000 or more",6,1720,1720,0.0905263157894737,1,0.909473774736842,1
"2654",24013505208,"Total",0,19000,19000,0,0,0,0
"2655",24013505208,"$1 under $25,000",1,4750,4750,0.25,0.25,0,0.250000152631579
"2656",24013505208,"$25,000 under $50,000",2,2900,2900,0.152631578947368,0.402631578947368,0.250000152631579,0.402631703157895
"2657",24013505208,"$50,000 under $75,000",3,2360,2360,0.124210526315789,0.526842105263158,0.402631703157895,0.526842216842105
"2658",24013505208,"$75,000 under $100,000",4,2120,2120,0.111578947368421,0.638421052631579,0.526842216842105,0.638421323684211
"2659",24013505208,"$100,000 under $200,000",5,5150,5150,0.271052631578947,0.909473684210526,0.638421323684211,0.909473774736842
"2660",24013505208,"$200,000 or more",6,1720,1720,0.0905263157894737,1,0.909473774736842,1
"2661",24013506101,"Total",0,41830,7083,0,0,0,0
"2662",24013506101,"$1 under $25,000",1,12040,2009,0.283636877029507,0.283636877029507,0,0.283637067061979
"2663",24013506101,"$25,000 under $50,000",2,8260,1346,0.190032472116335,0.473669349145842,0.283637067061979,0.473669495129183
"2664",24013506101,"$50,000 under $75,000",3,6100,1034,0.145983340392489,0.619652689538331,0.473669495129183,0.619652804743753
"2665",24013506101,"$75,000 under $100,000",4,4790,816,0.115205421431597,0.734858110969928,0.619652804743753,0.734858334039249
