"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HHTLEVEL","HHT","DIS","CDF","Range0","Range1"
"70",140,24,1,1000,100,9,"24001001000","1400000US24001001000",5,"NonfMNalone",47,0.0389072847682119,0.697019867549669,0.658112621688742,0.69702013410596
"71",140,24,1,1000,100,9,"24001001000","1400000US24001001000",6,"NonfFalone",322,0.266556291390728,0.963576158940397,0.69702013410596,0.963576195364238
"72",140,24,1,1000,100,9,"24001001000","1400000US24001001000",7,"NonfFNalone",44,0.0364238410596026,1,0.963576195364238,1
"73",140,24,1,1100,100,10,"24001001100","1400000US24001001100",0,"Total",820,0,0,0,0
"74",140,24,1,1100,100,10,"24001001100","1400000US24001001100",1,"MarriedFamilyHH",205,0.25,0.25,0,0.250000020731707
"75",140,24,1,1100,100,10,"24001001100","1400000US24001001100",2,"OthMale",17,0.0207317073170732,0.270731707317073,0.250000020731707,0.270731812195122
"76",140,24,1,1100,100,10,"24001001100","1400000US24001001100",3,"OthFemale",86,0.104878048780488,0.375609756097561,0.270731812195122,0.375609991463415
"77",140,24,1,1100,100,10,"24001001100","1400000US24001001100",4,"NonfMalone",193,0.235365853658537,0.610975609756097,0.375609991463415,0.610975641463415
"78",140,24,1,1100,100,10,"24001001100","1400000US24001001100",5,"NonfMNalone",26,0.0317073170731707,0.642682926829268,0.610975641463415,0.642683253658537
"79",140,24,1,1100,100,10,"24001001100","1400000US24001001100",6,"NonfFalone",268,0.326829268292683,0.969512195121951,0.642683253658537,0.969512225609756
"80",140,24,1,1100,100,10,"24001001100","1400000US24001001100",7,"NonfFNalone",25,0.0304878048780488,1,0.969512225609756,1
"81",140,24,1,1200,100,11,"24001001200","1400000US24001001200",0,"Total",1331,0,0,0,0
"82",140,24,1,1200,100,11,"24001001200","1400000US24001001200",1,"MarriedFamilyHH",674,0.506386175807663,0.506386175807664,0,0.506386215627348
"83",140,24,1,1200,100,11,"24001001200","1400000US24001001200",2,"OthMale",53,0.0398196844477836,0.546205860255447,0.506386215627348,0.546205957175056
"84",140,24,1,1200,100,11,"24001001200","1400000US24001001200",3,"OthFemale",129,0.0969196093163035,0.643125469571751,0.546205957175056,0.643125592036063
"85",140,24,1,1200,100,11,"24001001200","1400000US24001001200",4,"NonfMalone",163,0.122464312546957,0.765589782118708,0.643125592036063,0.765589814425244
"86",140,24,1,1200,100,11,"24001001200","1400000US24001001200",5,"NonfMNalone",43,0.0323065364387678,0.797896318557476,0.765589814425244,0.797896496619083
"87",140,24,1,1200,100,11,"24001001200","1400000US24001001200",6,"NonfFalone",237,0.178061607813674,0.97595792637115,0.797896496619083,0.975957950413223
"88",140,24,1,1200,100,11,"24001001200","1400000US24001001200",7,"NonfFNalone",32,0.0240420736288505,1,0.975957950413223,1
"89",140,24,1,1300,100,12,"24001001300","1400000US24001001300",0,"Total",897,0,0,0,0
"90",140,24,1,1300,100,12,"24001001300","1400000US24001001300",1,"MarriedFamilyHH",415,0.462653288740245,0.462653288740245,0,0.46265334671126
