"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","RAC1PLEVEL","RAC1P","DIS","CDF","Range0","Range1"
"52",140,24,1,600,100,6,"24001000600","1400000US24001000600",1,"WhiteAlone",2666,0.899156829679595,0.899156829679595,0,0.899157728836425
"53",140,24,1,600,100,6,"24001000600","1400000US24001000600",2,"BlackorAfricanAmerican",181,0.0610455311973019,0.960202360876897,0.899156890725127,0.960202421922428
"54",140,24,1,600,100,6,"24001000600","1400000US24001000600",3,"AmericanIndianAlone",8,0.00269814502529511,0.962900505902192,0.960202363575042,0.962900508600337
"55",140,24,1,600,100,6,"24001000600","1400000US24001000600",4,"AlaskaNativeAlnoe",0,0,0.962900505902192,0.962900505902192,0.962900505902192
"56",140,24,1,600,100,6,"24001000600","1400000US24001000600",5,"AmericanIndianAlaskaNative",4,0.00134907251264755,0.96424957841484,0.962900507251265,0.964249579763912
"57",140,24,1,600,100,6,"24001000600","1400000US24001000600",6,"AsianAlone",18,0.006070826306914,0.970320404721754,0.964249584485666,0.97032041079258
"58",140,24,1,600,100,6,"24001000600","1400000US24001000600",7,"NativeHawaiianOth",2,0.000674536256323777,0.970994940978078,0.97032040539629,0.970994941652614
"59",140,24,1,600,100,6,"24001000600","1400000US24001000600",8,"SomeOtherRace",7,0.00236087689713322,0.973355817875211,0.970994943338955,0.973355820236088
"60",140,24,1,600,100,6,"24001000600","1400000US24001000600",9,"TwoMoreRace",79,0.0266441821247892,1,0.973355844519393,1
"61",140,24,1,700,100,7,"24001000700","1400000US24001000700",0,"Total",3387,0,0,0,0
"62",140,24,1,700,100,7,"24001000700","1400000US24001000700",1,"WhiteAlone",3103,0.916149985237673,0.916149985237674,0,0.916150901387659
"63",140,24,1,700,100,7,"24001000700","1400000US24001000700",2,"BlackorAfricanAmerican",163,0.0481251845290818,0.964275169766755,0.916150033362858,0.96427521789194
"64",140,24,1,700,100,7,"24001000700","1400000US24001000700",3,"AmericanIndianAlone",4,0.00118098612341305,0.965456155890168,0.964275170947741,0.965456157071154
