SUMLEV,STATE,COUNTY,TRACT,PUMA,CenTrN,GEOID10,AFFGEOID10,CLASS,NPLEVEL,NP,DIS,CDF,Range0,Range1
140,24,1,1200,100,11,24001001200,1400000US24001001200,6,six,20,0.015026296,0.992486852,0.977460571,0.99248686
140,24,1,1200,100,11,24001001200,1400000US24001001200,7,sevenPlus,10,0.007513148,1,0.99248686,1
140,24,1,1300,100,12,24001001300,1400000US24001001300,0,Total,897,0,0,0,0
140,24,1,1300,100,12,24001001300,1400000US24001001300,1,one,277,0.308807135,0.308807135,0,0.308807495
140,24,1,1300,100,12,24001001300,1400000US24001001300,2,two,323,0.360089186,0.668896321,0.308807495,0.668896476
140,24,1,1300,100,12,24001001300,1400000US24001001300,3,three,139,0.154960981,0.823857302,0.668896476,0.823857415
140,24,1,1300,100,12,24001001300,1400000US24001001300,4,four,101,0.112597547,0.936454849,0.823857415,0.936454901
140,24,1,1300,100,12,24001001300,1400000US24001001300,5,five,46,0.051282051,0.987736901,0.936454901,0.987736906
140,24,1,1300,100,12,24001001300,1400000US24001001300,6,six,5,0.005574136,0.993311037,0.987736906,0.993311043
140,24,1,1300,100,12,24001001300,1400000US24001001300,7,sevenPlus,6,0.006688963,1,0.993311043,1
140,24,1,1401,100,13,24001001401,1400000US24001001401,0,Total,1752,0,0,0,0
140,24,1,1401,100,13,24001001401,1400000US24001001401,1,one,468,0.267123288,0.267123288,0,0.267123689
140,24,1,1401,100,13,24001001401,1400000US24001001401,2,two,703,0.401255708,0.668378995,0.267123689,0.668379151
140,24,1,1401,100,13,24001001401,1400000US24001001401,3,three,272,0.155251142,0.823630137,0.668379151,0.823630242
140,24,1,1401,100,13,24001001401,1400000US24001001401,4,four,184,0.105022831,0.928652968,0.823630242,0.928653018
140,24,1,1401,100,13,24001001401,1400000US24001001401,5,five,87,0.049657534,0.978310502,0.928653018,0.978310518
140,24,1,1401,100,13,24001001401,1400000US24001001401,6,six,27,0.015410959,0.993721461,0.978310518,0.993721467
140,24,1,1401,100,13,24001001401,1400000US24001001401,7,sevenPlus,11,0.006278539,1,0.993721467,1
140,24,1,1402,100,14,24001001402,1400000US24001001402,0,Total,676,0,0,0,0
140,24,1,1402,100,14,24001001402,1400000US24001001402,1,one,194,0.286982249,0.286982249,0,0.286982608
140,24,1,1402,100,14,24001001402,1400000US24001001402,2,two,243,0.359467456,0.646449704,0.286982608,0.646449867
140,24,1,1402,100,14,24001001402,1400000US24001001402,3,three,110,0.162721893,0.809171598,0.646449867,0.809171717
140,24,1,1402,100,14,24001001402,1400000US24001001402,4,four,81,0.119822485,0.928994083,0.809171717,0.928994142
140,24,1,1402,100,14,24001001402,1400000US24001001402,5,five,40,0.059171598,0.98816568,0.928994142,0.988165685
140,24,1,1402,100,14,24001001402,1400000US24001001402,6,six,3,0.00443787,0.99260355,0.988165685,0.992603558
140,24,1,1402,100,14,24001001402,1400000US24001001402,7,sevenPlus,5,0.00739645,1,0.992603558,1
140,24,1,1502,100,15,24001001502,1400000US24001001502,0,Total,823,0,0,0,0
140,24,1,1502,100,15,24001001502,1400000US24001001502,1,one,192,0.233292831,0.233292831,0,0.233293205
140,24,1,1502,100,15,24001001502,1400000US24001001502,2,two,308,0.374240583,0.607533414,0.233293205,0.607533595
140,24,1,1502,100,15,24001001502,1400000US24001001502,3,three,149,0.181044957,0.788578372,0.607533595,0.788578493
140,24,1,1502,100,15,24001001502,1400000US24001001502,4,four,100,0.121506683,0.910085055,0.788578493,0.910085117
140,24,1,1502,100,15,24001001502,1400000US24001001502,5,five,51,0.061968408,0.972053463,0.910085117,0.972053484
140,24,1,1502,100,15,24001001502,1400000US24001001502,6,six,17,0.020656136,0.992709599,0.972053484,0.992709606
140,24,1,1502,100,15,24001001502,1400000US24001001502,7,sevenPlus,6,0.007290401,1,0.992709606,1
140,24,1,1503,100,16,24001001503,1400000US24001001503,0,Total,779,0,0,0,0
140,24,1,1503,100,16,24001001503,1400000US24001001503,1,one,186,0.238767651,0.238767651,0,0.238768001
140,24,1,1503,100,16,24001001503,1400000US24001001503,2,two,273,0.350449294,0.589216945,0.238768001,0.589217136
140,24,1,1503,100,16,24001001503,1400000US24001001503,3,three,149,0.19127086,0.780487805,0.589217136,0.780487938
140,24,1,1503,100,16,24001001503,1400000US24001001503,4,four,104,0.133504493,0.913992298,0.780487938,0.913992356
140,24,1,1503,100,16,24001001503,1400000US24001001503,5,five,45,0.057766367,0.971758665,0.913992356,0.971758683
140,24,1,1503,100,16,24001001503,1400000US24001001503,6,six,14,0.017971759,0.989730424,0.971758683,0.989730434
140,24,1,1503,100,16,24001001503,1400000US24001001503,7,sevenPlus,8,0.010269576,1,0.989730434,1
140,24,1,1600,100,17,24001001600,1400000US24001001600,0,Total,720,0,0,0,0
140,24,1,1600,100,17,24001001600,1400000US24001001600,1,one,193,0.268055556,0.268055556,0,0.268055965
140,24,1,1600,100,17,24001001600,1400000US24001001600,2,two,295,0.409722222,0.677777778,0.268055965,0.677777944
140,24,1,1600,100,17,24001001600,1400000US24001001600,3,three,120,0.166666667,0.844444444,0.677777944,0.844444532
140,24,1,1600,100,17,24001001600,1400000US24001001600,4,four,63,0.0875,0.931944444,0.844444532,0.931944494
140,24,1,1600,100,17,24001001600,1400000US24001001600,5,five,36,0.05,0.981944444,0.931944494,0.98194446
140,24,1,1600,100,17,24001001600,1400000US24001001600,6,six,11,0.015277778,0.997222222,0.98194446,0.997222225
140,24,1,1600,100,17,24001001600,1400000US24001001600,7,sevenPlus,2,0.002777778,1,0.997222225,1
140,24,1,1700,100,18,24001001700,1400000US24001001700,0,Total,2098,0,0,0,0
140,24,1,1700,100,18,24001001700,1400000US24001001700,1,one,697,0.332221163,0.332221163,0,0.332221513
140,24,1,1700,100,18,24001001700,1400000US24001001700,2,two,734,0.349857007,0.68207817,0.332221513,0.682078327
140,24,1,1700,100,18,24001001700,1400000US24001001700,3,three,330,0.15729266,0.839370829,0.682078327,0.839370937
140,24,1,1700,100,18,24001001700,1400000US24001001700,4,four,225,0.107244995,0.946615825,0.839370937,0.94661586
140,24,1,1700,100,18,24001001700,1400000US24001001700,5,five,75,0.035748332,0.982364156,0.94661586,0.98236417
140,24,1,1700,100,18,24001001700,1400000US24001001700,6,six,28,0.013346044,0.9957102,0.98236417,0.995710204
140,24,1,1700,100,18,24001001700,1400000US24001001700,7,sevenPlus,9,0.0042898,1,0.995710204,1
140,24,1,1800,100,19,24001001800,1400000US24001001800,0,Total,1657,0,0,0,0
140,24,1,1800,100,19,24001001800,1400000US24001001800,1,one,648,0.391068196,0.391068196,0,0.391068518
140,24,1,1800,100,19,24001001800,1400000US24001001800,2,two,535,0.322872661,0.713940857,0.391068518,0.713941004
140,24,1,1800,100,19,24001001800,1400000US24001001800,3,three,244,0.147254074,0.861194931,0.713941004,0.861195027
140,24,1,1800,100,19,24001001800,1400000US24001001800,4,four,159,0.095956548,0.957151479,0.861195027,0.957151512
140,24,1,1800,100,19,24001001800,1400000US24001001800,5,five,55,0.033192517,0.990343995,0.957151512,0.990344004
140,24,1,1800,100,19,24001001800,1400000US24001001800,6,six,14,0.008449004,0.998792999,0.990344004,0.998793001
140,24,1,1800,100,19,24001001800,1400000US24001001800,7,sevenPlus,2,0.001207001,1,0.998793001,1
140,24,1,1900,100,20,24001001900,1400000US24001001900,0,Total,1034,0,0,0,0
140,24,1,1900,100,20,24001001900,1400000US24001001900,1,one,245,0.236943907,0.236943907,0,0.236944268
140,24,1,1900,100,20,24001001900,1400000US24001001900,2,two,373,0.36073501,0.597678917,0.236944268,0.597679091
140,24,1,1900,100,20,24001001900,1400000US24001001900,3,three,180,0.174081238,0.771760155,0.597679091,0.771760291
140,24,1,1900,100,20,24001001900,1400000US24001001900,4,four,141,0.136363636,0.908123791,0.771760291,0.908123853
140,24,1,1900,100,20,24001001900,1400000US24001001900,5,five,64,0.061895551,0.970019342,0.908123853,0.970019362
140,24,1,1900,100,20,24001001900,1400000US24001001900,6,six,20,0.01934236,0.989361702,0.970019362,0.989361713
140,24,1,1900,100,20,24001001900,1400000US24001001900,7,sevenPlus,11,0.010638298,1,0.989361713,1
140,24,1,2000,100,21,24001002000,1400000US24001002000,0,Total,2297,0,0,0,0
140,24,1,2000,100,21,24001002000,1400000US24001002000,1,one,577,0.251197214,0.251197214,0,0.251197609
140,24,1,2000,100,21,24001002000,1400000US24001002000,2,two,907,0.394862865,0.646060078,0.251197609,0.646060225
140,24,1,2000,100,21,24001002000,1400000US24001002000,3,three,336,0.146277754,0.792337832,0.646060225,0.79233797
140,24,1,2000,100,21,24001002000,1400000US24001002000,4,four,317,0.138006095,0.930343927,0.79233797,0.930343972
140,24,1,2000,100,21,24001002000,1400000US24001002000,5,five,103,0.044841097,0.975185024,0.930343972,0.975185041
140,24,1,2000,100,21,24001002000,1400000US24001002000,6,six,39,0.016978668,0.992163692,0.975185041,0.9921637
140,24,1,2000,100,21,24001002000,1400000US24001002000,7,sevenPlus,18,0.007836308,1,0.9921637,1
140,24,1,2100,100,22,24001002100,1400000US24001002100,0,Total,1400,0,0,0,0
140,24,1,2100,100,22,24001002100,1400000US24001002100,1,one,386,0.275714286,0.275714286,0,0.275714639
140,24,1,2100,100,22,24001002100,1400000US24001002100,2,two,495,0.353571429,0.629285714,0.275714639,0.629285879
140,24,1,2100,100,22,24001002100,1400000US24001002100,3,three,230,0.164285714,0.793571429,0.629285879,0.79357155
140,24,1,2100,100,22,24001002100,1400000US24001002100,4,four,170,0.121428571,0.915,0.79357155,0.915000057
140,24,1,2100,100,22,24001002100,1400000US24001002100,5,five,80,0.057142857,0.972142857,0.915000057,0.972142876
140,24,1,2100,100,22,24001002100,1400000US24001002100,6,six,27,0.019285714,0.991428571,0.972142876,0.99142858
140,24,1,2100,100,22,24001002100,1400000US24001002100,7,sevenPlus,12,0.008571429,1,0.99142858,1
140,24,1,2200,100,23,24001002200,1400000US24001002200,0,Total,1614,0,0,0,0
140,24,1,2200,100,23,24001002200,1400000US24001002200,1,one,475,0.294299876,0.294299876,0,0.294300246
140,24,1,2200,100,23,24001002200,1400000US24001002200,2,two,597,0.369888476,0.664188352,0.294300246,0.664188503
140,24,1,2200,100,23,24001002200,1400000US24001002200,3,three,244,0.1511772,0.815365551,0.664188503,0.815365666
