"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HUPACLEVEL","HUPAC","DIS","CDF","Range0","Range1"
"68",140,24,1,1402,100,14,"24001001402","1400000US24001001402",2,"X6to17",105,0.155325443786982,0.226331360946745,0.071006072485207,0.226331412721893
"69",140,24,1,1402,100,14,"24001001402","1400000US24001001402",3,"Und6and6to17",35,0.0517751479289941,0.27810650887574,0.226331412721893,0.278107230769231
"70",140,24,1,1402,100,14,"24001001402","1400000US24001001402",4,"NoChild",488,0.72189349112426,1,0.278107230769231,1
"71",140,24,1,1502,100,15,"24001001502","1400000US24001001502",0,"Total",823,0,0,0,0
"72",140,24,1,1502,100,15,"24001001502","1400000US24001001502",1,"Under6",37,0.0449574726609964,0.0449574726609963,0,0.0449576634264884
"73",140,24,1,1502,100,15,"24001001502","1400000US24001001502",2,"X6to17",157,0.190765492102066,0.235722964763062,0.0449576634264884,0.235723017010936
"74",140,24,1,1502,100,15,"24001001502","1400000US24001001502",3,"Und6and6to17",43,0.0522478736330498,0.287970838396112,0.235723017010936,0.287971550425273
"75",140,24,1,1502,100,15,"24001001502","1400000US24001001502",4,"NoChild",586,0.712029161603888,1,0.287971550425273,1
"76",140,24,1,1503,100,16,"24001001503","1400000US24001001503",0,"Total",779,0,0,0,0
"77",140,24,1,1503,100,16,"24001001503","1400000US24001001503",1,"Under6",34,0.0436456996148909,0.0436456996148908,0,0.043645892169448
"78",140,24,1,1503,100,16,"24001001503","1400000US24001001503",2,"X6to17",150,0.192554557124519,0.236200256739409,0.043645892169448,0.23620031322208
"79",140,24,1,1503,100,16,"24001001503","1400000US24001001503",3,"Und6and6to17",44,0.0564826700898588,0.292682926829268,0.23620031322208,0.292683634146342
"80",140,24,1,1503,100,16,"24001001503","1400000US24001001503",4,"NoChild",551,0.707317073170732,1,0.292683634146342,1
"81",140,24,1,1600,100,17,"24001001600","1400000US24001001600",0,"Total",720,0,0,0,0
"82",140,24,1,1600,100,17,"24001001600","1400000US24001001600",1,"Under6",45,0.0625,0.0625,0,0.0625001569444444
"83",140,24,1,1600,100,17,"24001001600","1400000US24001001600",2,"X6to17",113,0.156944444444444,0.219444444444445,0.0625001569444444,0.219444483333333
"84",140,24,1,1600,100,17,"24001001600","1400000US24001001600",3,"Und6and6to17",28,0.0388888888888889,0.258333333333333,0.219444483333333,0.258334075
"85",140,24,1,1600,100,17,"24001001600","1400000US24001001600",4,"NoChild",534,0.741666666666667,1,0.258334075,1
"86",140,24,1,1700,100,18,"24001001700","1400000US24001001700",0,"Total",2098,0,0,0,0
"87",140,24,1,1700,100,18,"24001001700","1400000US24001001700",1,"Under6",136,0.0648236415633937,0.0648236415633936,0,0.0648237669208769
"88",140,24,1,1700,100,18,"24001001700","1400000US24001001700",2,"X6to17",263,0.125357483317445,0.190181124880839,0.0648237669208769,0.190181163012393
"89",140,24,1,1700,100,18,"24001001700","1400000US24001001700",3,"Und6and6to17",80,0.0381315538608198,0.228312678741659,0.190181163012393,0.22831345042898
"90",140,24,1,1700,100,18,"24001001700","1400000US24001001700",4,"NoChild",1619,0.771687321258341,1,0.22831345042898,1
"91",140,24,1,1800,100,19,"24001001800","1400000US24001001800",0,"Total",1657,0,0,0,0
"92",140,24,1,1800,100,19,"24001001800","1400000US24001001800",1,"Under6",78,0.0470730235365118,0.0470730235365118,0,0.0470731128545564
"93",140,24,1,1800,100,19,"24001001800","1400000US24001001800",2,"X6to17",148,0.0893180446590223,0.136391068195534,0.0470731128545564,0.136391095956548
"94",140,24,1,1800,100,19,"24001001800","1400000US24001001800",3,"Und6and6to17",46,0.0277610138805069,0.164152082076041,0.136391095956548,0.164152917923959
"95",140,24,1,1800,100,19,"24001001800","1400000US24001001800",4,"NoChild",1385,0.835847917923959,1,0.164152917923959,1
"96",140,24,1,1900,100,20,"24001001900","1400000US24001001900",0,"Total",1034,0,0,0,0
"97",140,24,1,1900,100,20,"24001001900","1400000US24001001900",1,"Under6",70,0.0676982591876209,0.067698259187621,0,0.067698424564797
"98",140,24,1,1900,100,20,"24001001900","1400000US24001001900",2,"X6to17",171,0.165377176015474,0.233075435203095,0.067698424564797,0.233075505802708
"99",140,24,1,1900,100,20,"24001001900","1400000US24001001900",3,"Und6and6to17",73,0.0705996131528046,0.303675048355899,0.233075505802708,0.303675744680851
"100",140,24,1,1900,100,20,"24001001900","1400000US24001001900",4,"NoChild",720,0.696324951644101,1,0.303675744680851,1
"101",140,24,1,2000,100,21,"24001002000","1400000US24001002000",0,"Total",2297,0,0,0,0
"102",140,24,1,2000,100,21,"24001002000","1400000US24001002000",1,"Under6",137,0.0596430126251633,0.0596430126251632,0,0.0596431850239443
"103",140,24,1,2000,100,21,"24001002000","1400000US24001002000",2,"X6to17",396,0.17239878101872,0.232041793643883,0.0596431850239443,0.232041853722247
"104",140,24,1,2000,100,21,"24001002000","1400000US24001002000",3,"Und6and6to17",138,0.0600783630822812,0.292120156726165,0.232041853722247,0.292120864606008
"105",140,24,1,2000,100,21,"24001002000","1400000US24001002000",4,"NoChild",1626,0.707879843273835,1,0.292120864606008,1
"106",140,24,1,2100,100,22,"24001002100","1400000US24001002100",0,"Total",1400,0,0,0,0
"107",140,24,1,2100,100,22,"24001002100","1400000US24001002100",1,"Under6",102,0.0728571428571429,0.072857142857143,0,0.0728573014285715
"108",140,24,1,2100,100,22,"24001002100","1400000US24001002100",2,"X6to17",222,0.158571428571429,0.231428571428571,0.0728573014285715,0.231428625
"109",140,24,1,2100,100,22,"24001002100","1400000US24001002100",3,"Und6and6to17",75,0.0535714285714286,0.285,0.231428625,0.285000715
"110",140,24,1,2100,100,22,"24001002100","1400000US24001002100",4,"NoChild",1001,0.715,1,0.285000715,1
"111",140,24,1,2200,100,23,"24001002200","1400000US24001002200",0,"Total",1614,0,0,0,0
"112",140,24,1,2200,100,23,"24001002200","1400000US24001002200",1,"Under6",85,0.0526641883519207,0.0526641883519208,0,0.0526643432465924
"113",140,24,1,2200,100,23,"24001002200","1400000US24001002200",2,"X6to17",250,0.154894671623296,0.207558859975217,0.0526643432465924,0.20755890582404
"114",140,24,1,2200,100,23,"24001002200","1400000US24001002200",3,"Und6and6to17",74,0.0458488228004957,0.253407682775713,0.20755890582404,0.25340842936803
"115",140,24,1,2200,100,23,"24001002200","1400000US24001002200",4,"NoChild",1205,0.746592317224288,1,0.25340842936803,1
"116",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",0,"Total",1567,0,0,0,0
"117",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",1,"Under6",146,0.0931716656030632,0.0931716656030632,0,0.0931718653477984
"118",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",2,"X6to17",313,0.199744735162731,0.292916400765795,0.0931718653477984,0.292916455009572
"119",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",3,"Und6and6to17",85,0.0542437779195916,0.347160178685386,0.292916455009572,0.347160831525207
"120",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",4,"NoChild",1023,0.652839821314614,1,0.347160831525207,1
"121",140,24,3,701102,1204,25,"24003701102","1400000US24003701102",0,"Total",2970,0,0,0,0
"122",140,24,3,701102,1204,25,"24003701102","1400000US24003701102",1,"Under6",250,0.0841750841750842,0.0841750841750841,0,0.0841752447811447
"123",140,24,3,701102,1204,25,"24003701102","1400000US24003701102",2,"X6to17",477,0.160606060606061,0.244781144781145,0.0841752447811447,0.244781197643098
"124",140,24,3,701102,1204,25,"24003701102","1400000US24003701102",3,"Und6and6to17",157,0.0528619528619529,0.297643097643098,0.244781197643098,0.2976438
"125",140,24,3,701102,1204,25,"24003701102","1400000US24003701102",4,"NoChild",2086,0.702356902356902,1,0.2976438,1
"126",140,24,3,701200,1204,26,"24003701200","1400000US24003701200",0,"Total",3107,0,0,0,0
"127",140,24,3,701200,1204,26,"24003701200","1400000US24003701200",1,"Under6",217,0.0698422915996138,0.0698422915996137,0,0.0698425168973286
"128",140,24,3,701200,1204,26,"24003701200","1400000US24003701200",2,"X6to17",700,0.225297714837464,0.295140006437077,0.0698425168973286,0.295140072417123
